month,year,scenario,pressure,temperature,extraction,recharge
0,0.0,Sustainable operation,100.0,250.0,10,10
1,0.08333333333333333,Sustainable operation,99.7,249.9,10,10
2,0.16666666666666666,Sustainable operation,99.4,249.8,10,10
3,0.25,Sustainable operation,99.10000000000001,249.70000000000002,10,10
4,0.3333333333333333,Sustainable operation,98.80000000000001,249.60000000000002,10,10
5,0.4166666666666667,Sustainable operation,98.50000000000001,249.50000000000003,10,10
6,0.5,Sustainable operation,98.20000000000002,249.40000000000003,10,10
7,0.5833333333333334,Sustainable operation,97.90000000000002,249.30000000000004,10,10
8,0.6666666666666666,Sustainable operation,97.60000000000002,249.20000000000005,10,10
9,0.75,Sustainable operation,97.30000000000003,249.10000000000005,10,10
10,0.8333333333333334,Sustainable operation,97.00000000000003,249.00000000000006,10,10
11,0.9166666666666666,Sustainable operation,96.70000000000003,248.90000000000006,10,10
12,1.0,Sustainable operation,96.40000000000003,248.80000000000007,10,10
13,1.0833333333333333,Sustainable operation,96.10000000000004,248.70000000000007,10,10
14,1.1666666666666667,Sustainable operation,95.80000000000004,248.60000000000008,10,10
15,1.25,Sustainable operation,95.50000000000004,248.50000000000009,10,10
16,1.3333333333333333,Sustainable operation,95.20000000000005,248.4000000000001,10,10
17,1.4166666666666667,Sustainable operation,94.90000000000005,248.3000000000001,10,10
18,1.5,Sustainable operation,94.60000000000005,248.2000000000001,10,10
19,1.5833333333333333,Sustainable operation,94.30000000000005,248.1000000000001,10,10
20,1.6666666666666667,Sustainable operation,94.00000000000006,248.0000000000001,10,10
21,1.75,Sustainable operation,93.70000000000006,247.90000000000012,10,10
22,1.8333333333333333,Sustainable operation,93.40000000000006,247.80000000000013,10,10
23,1.9166666666666667,Sustainable operation,93.10000000000007,247.70000000000013,10,10
24,2.0,Sustainable operation,92.80000000000007,247.60000000000014,10,10
25,2.0833333333333335,Sustainable operation,92.50000000000007,247.50000000000014,10,10
26,2.1666666666666665,Sustainable operation,92.20000000000007,247.40000000000015,10,10
27,2.25,Sustainable operation,91.90000000000008,247.30000000000015,10,10
28,2.3333333333333335,Sustainable operation,91.60000000000008,247.20000000000016,10,10
29,2.4166666666666665,Sustainable operation,91.30000000000008,247.10000000000016,10,10
30,2.5,Sustainable operation,91.00000000000009,247.00000000000017,10,10
31,2.5833333333333335,Sustainable operation,90.70000000000009,246.90000000000018,10,10
32,2.6666666666666665,Sustainable operation,90.40000000000009,246.80000000000018,10,10
33,2.75,Sustainable operation,90.1000000000001,246.7000000000002,10,10
34,2.8333333333333335,Sustainable operation,89.8000000000001,246.6000000000002,10,10
35,2.9166666666666665,Sustainable operation,89.5000000000001,246.5000000000002,10,10
36,3.0,Sustainable operation,89.2000000000001,246.4000000000002,10,10
37,3.0833333333333335,Sustainable operation,88.9000000000001,246.3000000000002,10,10
38,3.1666666666666665,Sustainable operation,88.60000000000011,246.20000000000022,10,10
39,3.25,Sustainable operation,88.30000000000011,246.10000000000022,10,10
40,3.3333333333333335,Sustainable operation,88.00000000000011,246.00000000000023,10,10
41,3.4166666666666665,Sustainable operation,87.70000000000012,245.90000000000023,10,10
42,3.5,Sustainable operation,87.40000000000012,245.80000000000024,10,10
43,3.5833333333333335,Sustainable operation,87.10000000000012,245.70000000000024,10,10
44,3.6666666666666665,Sustainable operation,86.80000000000013,245.60000000000025,10,10
45,3.75,Sustainable operation,86.50000000000013,245.50000000000026,10,10
46,3.8333333333333335,Sustainable operation,86.20000000000013,245.40000000000026,10,10
47,3.9166666666666665,Sustainable operation,85.90000000000013,245.30000000000027,10,10
48,4.0,Sustainable operation,85.60000000000014,245.20000000000027,10,10
49,4.083333333333333,Sustainable operation,85.30000000000014,245.10000000000028,10,10
50,4.166666666666667,Sustainable operation,85.00000000000014,245.00000000000028,10,10
51,4.25,Sustainable operation,84.70000000000014,244.9000000000003,10,10
52,4.333333333333333,Sustainable operation,84.40000000000015,244.8000000000003,10,10
53,4.416666666666667,Sustainable operation,84.10000000000015,244.7000000000003,10,10
54,4.5,Sustainable operation,83.80000000000015,244.6000000000003,10,10
55,4.583333333333333,Sustainable operation,83.50000000000016,244.5000000000003,10,10
56,4.666666666666667,Sustainable operation,83.20000000000016,244.40000000000032,10,10
57,4.75,Sustainable operation,82.90000000000016,244.30000000000032,10,10
58,4.833333333333333,Sustainable operation,82.60000000000016,244.20000000000033,10,10
59,4.916666666666667,Sustainable operation,82.30000000000017,244.10000000000034,10,10
60,5.0,Sustainable operation,82.00000000000017,244.00000000000034,10,10
61,5.083333333333333,Sustainable operation,81.70000000000017,243.90000000000035,10,10
62,5.166666666666667,Sustainable operation,81.40000000000018,243.80000000000035,10,10
63,5.25,Sustainable operation,81.10000000000018,243.70000000000036,10,10
64,5.333333333333333,Sustainable operation,80.80000000000018,243.60000000000036,10,10
65,5.416666666666667,Sustainable operation,80.50000000000018,243.50000000000037,10,10
66,5.5,Sustainable operation,80.20000000000019,243.40000000000038,10,10
67,5.583333333333333,Sustainable operation,79.90000000000019,243.30000000000038,10,10
68,5.666666666666667,Sustainable operation,79.6000000000002,243.2000000000004,10,10
69,5.75,Sustainable operation,79.3000000000002,243.1000000000004,10,10
70,5.833333333333333,Sustainable operation,79.0000000000002,243.0000000000004,10,10
71,5.916666666666667,Sustainable operation,78.7000000000002,242.9000000000004,10,10
72,6.0,Sustainable operation,78.4000000000002,242.8000000000004,10,10
73,6.083333333333333,Sustainable operation,78.10000000000021,242.70000000000041,10,10
74,6.166666666666667,Sustainable operation,77.80000000000021,242.60000000000042,10,10
75,6.25,Sustainable operation,77.50000000000021,242.50000000000043,10,10
76,6.333333333333333,Sustainable operation,77.20000000000022,242.40000000000043,10,10
77,6.416666666666667,Sustainable operation,76.90000000000022,242.30000000000044,10,10
78,6.5,Sustainable operation,76.60000000000022,242.20000000000044,10,10
79,6.583333333333333,Sustainable operation,76.30000000000022,242.10000000000045,10,10
80,6.666666666666667,Sustainable operation,76.00000000000023,242.00000000000045,10,10
81,6.75,Sustainable operation,75.70000000000023,241.90000000000046,10,10
82,6.833333333333333,Sustainable operation,75.40000000000023,241.80000000000047,10,10
83,6.916666666666667,Sustainable operation,75.10000000000024,241.70000000000047,10,10
84,7.0,Sustainable operation,74.80000000000024,241.60000000000048,10,10
85,7.083333333333333,Sustainable operation,74.50000000000024,241.50000000000048,10,10
86,7.166666666666667,Sustainable operation,74.20000000000024,241.4000000000005,10,10
87,7.25,Sustainable operation,73.90000000000025,241.3000000000005,10,10
88,7.333333333333333,Sustainable operation,73.60000000000025,241.2000000000005,10,10
