extraction_rate,final_pressure,final_temperature
5,111.99999999999932,253.00000000000068
6,102.39999999999952,250.0
7,92.79999999999973,246.99999999999932
8,83.19999999999993,244.00000000000205
9,73.60000000000014,241.00000000000136
10,64.00000000000034,238.00000000000068
11,54.40000000000036,235.0
12,44.80000000000045,231.99999999999932
13,35.19999999999963,229.00000000000205
14,25.59999999999985,226.00000000000136
15,15.99999999999974,223.00000000000068
16,6.399999999999884,220.0
17,-3.1999999999999424,216.99999999999932
18,-12.799999999999843,214.00000000000205
19,-22.399999999999952,211.00000000000136
20,-31.999999999999893,208.00000000000068
21,-41.600000000000186,205.0
22,-51.2000000000001,201.99999999999932
23,-60.80000000000024,199.00000000000205
24,-70.40000000000016,196.00000000000136
25,-80.0,193.00000000000068
26,-89.59999999999984,190.0
27,-99.19999999999973,186.99999999999932
28,-108.79999999999987,184.00000000000205
29,-118.39999999999968,181.00000000000136
30,-128.00000000000023,178.00000000000068
